"poll_codi","contaminant","data","Concentration","dt_h"
28,"CO",2019-01-01 00:00:00,300,17920
28,"CO",2019-01-01 01:00:00,300,17921
28,"CO",2019-01-01 02:00:00,500,17922
28,"CO",2019-01-01 03:00:00,300,17923
28,"CO",2019-01-01 04:00:00,300,17924
28,"CO",2019-01-01 05:00:00,200,17925
28,"CO",2019-01-01 06:00:00,400,17926
28,"CO",2019-01-01 07:00:00,300,17927
28,"CO",2019-01-01 08:00:00,300,17928
28,"CO",2019-01-01 09:00:00,300,17929
28,"CO",2019-01-01 10:00:00,400,17930
28,"CO",2019-01-01 11:00:00,300,17931
28,"CO",2019-01-01 12:00:00,400,17932
28,"CO",2019-01-01 13:00:00,300,17933
28,"CO",2019-01-01 14:00:00,200,17934
28,"CO",2019-01-01 15:00:00,200,17935
28,"CO",2019-01-01 16:00:00,300,17936
28,"CO",2019-01-01 17:00:00,200,17937
28,"CO",2019-01-01 18:00:00,300,17938
28,"CO",2019-01-01 19:00:00,300,17939
28,"CO",2019-01-01 20:00:00,300,17940
28,"CO",2019-01-01 21:00:00,300,17941
28,"CO",2019-01-01 22:00:00,300,17942
28,"CO",2019-01-01 23:00:00,300,17943
28,"CO",2019-01-02 00:00:00,300,17944
28,"CO",2019-01-02 01:00:00,300,17945
28,"CO",2019-01-02 02:00:00,300,17946
28,"CO",2019-01-02 03:00:00,300,17947
28,"CO",2019-01-02 04:00:00,300,17948
28,"CO",2019-01-02 05:00:00,200,17949
28,"CO",2019-01-02 06:00:00,200,17950
28,"CO",2019-01-02 07:00:00,300,17951
28,"CO",2019-01-02 08:00:00,300,17952
28,"CO",2019-01-02 09:00:00,300,17953
28,"CO",2019-01-02 10:00:00,300,17954
28,"CO",2019-01-02 11:00:00,300,17955
28,"CO",2019-01-02 12:00:00,300,17956
28,"CO",2019-01-02 13:00:00,300,17957
28,"CO",2019-01-02 14:00:00,300,17958
28,"CO",2019-01-02 15:00:00,300,17959
28,"CO",2019-01-02 16:00:00,300,17960
28,"CO",2019-01-02 17:00:00,300,17961
28,"CO",2019-01-02 18:00:00,300,17962
28,"CO",2019-01-02 19:00:00,300,17963
28,"CO",2019-01-02 20:00:00,300,17964
28,"CO",2019-01-02 21:00:00,300,17965
28,"CO",2019-01-02 22:00:00,300,17966
28,"CO",2019-01-02 23:00:00,300,17967
28,"CO",2019-01-03 00:00:00,200,17968
28,"CO",2019-01-03 01:00:00,300,17969
28,"CO",2019-01-03 02:00:00,300,17970
28,"CO",2019-01-03 03:00:00,300,17971
28,"CO",2019-01-03 04:00:00,400,17972
28,"CO",2019-01-03 05:00:00,300,17973
28,"CO",2019-01-03 06:00:00,300,17974
28,"CO",2019-01-03 07:00:00,300,17975
28,"CO",2019-01-03 08:00:00,300,17976
28,"CO",2019-01-03 09:00:00,300,17977
28,"CO",2019-01-03 10:00:00,300,17978
28,"CO",2019-01-03 11:00:00,300,17979
28,"CO",2019-01-03 12:00:00,300,17980
28,"CO",2019-01-03 13:00:00,300,17981
28,"CO",2019-01-03 14:00:00,300,17982
28,"CO",2019-01-03 15:00:00,300,17983
28,"CO",2019-01-03 16:00:00,300,17984
28,"CO",2019-01-03 17:00:00,300,17985
28,"CO",2019-01-03 18:00:00,300,17986
28,"CO",2019-01-03 19:00:00,400,17987
28,"CO",2019-01-03 20:00:00,400,17988
28,"CO",2019-01-03 21:00:00,400,17989
28,"CO",2019-01-03 22:00:00,400,17990
28,"CO",2019-01-03 23:00:00,300,17991
28,"CO",2019-01-04 00:00:00,300,17992
28,"CO",2019-01-04 01:00:00,300,17993
28,"CO",2019-01-04 02:00:00,300,17994
28,"CO",2019-01-04 03:00:00,300,17995
28,"CO",2019-01-04 04:00:00,200,17996
28,"CO",2019-01-04 05:00:00,300,17997
28,"CO",2019-01-04 06:00:00,300,17998
28,"CO",2019-01-04 07:00:00,300,17999
28,"CO",2019-01-04 08:00:00,300,18000
28,"CO",2019-01-04 09:00:00,300,18001
28,"CO",2019-01-04 10:00:00,400,18002
28,"CO",2019-01-04 11:00:00,300,18003
28,"CO",2019-01-04 12:00:00,300,18004
28,"CO",2019-01-04 13:00:00,300,18005
28,"CO",2019-01-04 14:00:00,300,18006
28,"CO",2019-01-04 15:00:00,300,18007
28,"CO",2019-01-04 16:00:00,300,18008
28,"CO",2019-01-04 17:00:00,300,18009
28,"CO",2019-01-04 18:00:00,300,18010
28,"CO",2019-01-04 19:00:00,400,18011
28,"CO",2019-01-04 20:00:00,800,18012
28,"CO",2019-01-04 21:00:00,700,18013
28,"CO",2019-01-04 22:00:00,600,18014
28,"CO",2019-01-04 23:00:00,500,18015
28,"CO",2019-01-05 00:00:00,400,18016
28,"CO",2019-01-05 01:00:00,400,18017
28,"CO",2019-01-05 02:00:00,300,18018
28,"CO",2019-01-05 03:00:00,300,18019
